;1990;1995;2000;2005;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Ethiopia;12175166763.285;7663984567.90123;8242392103.68061;12401139453.9738;32437389116.038;29933790334.3418;31952763089.33;43310721414.0829;47648211133.2183;55612228233.5179;64589334978.8013;74296618481.0882;81770791970.982;84269348327.3454;95912590628.1412
Finland;141438345513.917;134189814814.815;125706651925.557;204809103345.355;252496526813.004;249181190476.369;275243697751.011;258304834621.605;271285280621.373;274497230802.958;234440080998.273;240607907010.383;255232257243.53;275946554578.823;269296310180.392
France;1269179616913.63;1601094756209.75;1362248940482.77;2196126103718.44;2690222283967.77;2642609548930.36;2861408170264.61;2683825225092.63;2811077725703.59;2852165760630.27;2438207896251.84;2471285607081.72;2595151045197.65;2787863958885.49;2715518274227.45
Gabon;5952293765.84468;4958845906.34769;5067865320.7979;9582783318.3881;12113699660.6799;14372591916.4792;18210308748.2912;17170465294.0332;17595745653.3676;18203968001.8908;14383107714.0388;14023890620.3384;14929488770.7315;16862282413.8778;16874450215.1351
Georgia;7753501867.76095;2693731865.97036;3057475288.78105;6410823633.25426;10766836276.5639;12243505582.6741;15107441446.7833;16488403076.3641;17189551520.9811;17627003454.7205;14953950557.4406;15141758566.7808;16242916915.7203;17599700090.762;17477255545.6705
Germany;1771671206875.68;2585792275146.72;1943145384190.16;2845802760850.64;3397791053070.3;3396354075663.73;3744408602683.94;3527344944139.83;3732743446218.92;3883920155292.26;3356235704119.75;3467498002104.33;3682602479929.42;3963767526250.98;3861123558039.21
Ghana;5889174825.487;6465137614.6789;4983024408.14828;10744675209.8984;26048108185.0534;32197272797.2028;39337314809.9434;41270954737.2459;62405374785.5052;53660342159.7735;48564863888.4402;55009730600.0307;58998132329.6173;65556464048.1539;66983634223.943
Greece;97891092003.4394;136878365936.167;130133845586.88;247783002114.165;330000251458.739;299361576293.332;287797821676.138;245670666767.533;239862011051.781;237029578730.029;196591353872.132;195222443844.783;203588424740.3;218138367208.799;209852761132.839
Guatemala;7650125217.35253;14655404433.2771;19288827158.9035;27211377107.3763;37733609794.6481;41338008612.7727;47654783851.8252;50388460924.7345;52996540576.3161;57852399705.1292;62186186575.7433;66053725049.0138;71612352644.9734;73118147941.2704;76710355347.0968
Guinea;2666616176.91609;3693753379.05992;2995360969.16199;2937071767.25576;6716904568.76482;6853467857.61127;6785137172.77058;7638045254.42864;8376613843.27265;8778473614.54728;8794202443.67366;8595955581.21787;10324668266.5921;10907214993.5687;12296665331.192
Honduras;4923009551.51561;5347445005.21376;7103507989.05044;9757034456.7578;14587496229.1811;15839344591.9842;17710315005.9999;18528601901.324;18499710127.8385;19756494434.7031;20979767785.2104;21717622071.3816;23136232229.6069;24024189735.8876;25095395475.0393
Hungary;46288369007.4588;46425677734.1435;47218405892.4258;112980947728.383;130760312876.683;131916516051.985;141759722464.002;128475498380.379;135411698965.109;140765018880.633;125074286021.14;128470534117.954;142961605733.026;160418835850.907;163469042867.956
Iceland;6478459743.53079;7134341221.51683;9003639602.62542;16812530830.3841;13164652470.4299;13683689692.6583;15158548262.7723;14724078148.3168;16033517403.2062;17758050015.5425;17389101639.0017;20618363251.6229;24488176540.5908;25737594324.022;24188038473.5438
India;320979026419.633;360281952716.797;468394937262.37;820381595512.902;1341886602798.69;1675615335600.56;1823050405350.42;1827637859135.7;1856722121394.53;2039127446298.55;2103587817041.78;2294797978291.98;2652754685834.59;2713165057513.35;2868929415617.02
