id_master_country;cod_unstats_num;cod_unstats_alpha;cod_eurostat;full_name_en_order;full_name_es_order;full_name_en;full_name_es;short_name_en_order;short_name_es_order;short_name_en;short_name_es;date_in;date_out;country;geom
un570;570;NIU;;Niue;Niue;Niue;Niue;Niue;Niue;Niue;Niue;;;t;
un574;574;NFK;;Norfolk Island;Islas Norfolk;Norfolk Island;Islas Norfolk;Norfolk Island;Islas Norfolk;Norfolk Island;Islas Norfolk;;;t;
un578;578;NOR;NO;Norway;Noruega;Norway;Noruega;Norway;Noruega;Norway;Noruega;;;t;
un583;583;FSM;;Micronesia (Federated States of);Micronesia (Estados Federados de);Micronesia (Federated States of);Micronesia (Estados Federados de);Micronesia (Federated States of);Micronesia (Estados Federados de);Micronesia (Federated States of);Micronesia (Estados Federados de);;;t;
un584;584;MHL;;Marshall Islands;Islas Marshall;Marshall Islands;Islas Marshall;Marshall Islands;Islas Marshall;Marshall Islands;Islas Marshall;;;t;
un585;585;PLW;;Palau;Palau;Palau;Palau;Palau;Palau;Palau;Palau;;;t;
un586;586;PAK;;Pakistan;Pakistán;Pakistan;Pakistán;Pakistan;Pakistán;Pakistan;Pakistán;;;t;
un591;591;PAN;;Panama;Panamá;Panama;Panamá;Panama;Panamá;Panama;Panamá;;;t;
un598;598;PNG;;Papua New Guinea;Papua Nueva Guinea;Papua New Guinea;Papua Nueva Guinea;Papua New Guinea;Papua Nueva Guinea;Papua New Guinea;Papua Nueva Guinea;;;t;
un600;600;PRY;;Paraguay;Paraguay;Paraguay;Paraguay;Paraguay;Paraguay;Paraguay;Paraguay;;;t;
un604;604;PER;;Peru;Perú;Peru;Perú;Peru;Perú;Peru;Perú;;;t;
un608;608;PHL;;Philippines;Filipinas;Philippines;Filipinas;Philippines;Filipinas;Philippines;Filipinas;;;t;
un612;612;PCN;;Pitcairn;Pitcairn;Pitcairn;Pitcairn;Pitcairn;Pitcairn;Pitcairn;Pitcairn;;;t;
un616;616;POL;PL;Poland;Polonia;Poland;Polonia;Poland;Polonia;Poland;Polonia;;;t;
un620;620;PRT;PT;Portugal;Portugal;Portugal;Portugal;Portugal;Portugal;Portugal;Portugal;;;t;
un016;016;ASM;;American Samoa;Samoa Americana;American Samoa;Samoa Americana;American Samoa;Samoa Americana;American Samoa;Samoa Americana;;;t;
un076;076;BRA;;Brazil;Brasil;Brazil;Brasil;Brazil;Brasil;Brazil;Brasil;;;t;
