id_master_country;date_in;date_out;population;pib
un380;1995-01-01;1995-12-31;56968039;1349020773211.15
un384;1995-01-01;1995-12-31;14677200;24079647582.8093
un388;1995-01-01;1995-12-31;2461516;18521637213.2199
un392;1995-01-01;1995-12-31;124486744;3424515789369.04
un398;1995-01-01;1995-12-31;15925853;71554708854.9796
un400;1995-01-01;1995-12-31;4382005;16354250925.9005
un404;1995-01-01;1995-12-31;27425720;36631787377.2638
un408;1995-01-01;1995-12-31;21770898;43541796000
un410;1995-01-01;1995-12-31;44662143;610711408259.375
un414;1995-01-01;1995-12-31;1627911;73189388809.5964
un417;1995-01-01;1995-12-31;4592135;5717156230.57081
un418;1995-01-01;1995-12-31;4795112;6529875682.40348
un422;1995-01-01;1995-12-31;3462974;28644762598.8446
un426;1995-01-01;1995-12-31;1794531;1916430123.65204
un428;1995-01-01;1995-12-31;2492095;15430552666.1646
un430;1995-01-01;1995-12-31;2094591;1387033576.26106
un434;1995-01-01;1995-12-31;4775009;41723318157.7971
un438;1995-01-01;1995-12-31;30941;1931123983.37781
un440;1995-01-01;1995-12-31;3629104;28322160819.7829
un442;1995-01-01;1995-12-31;407522;19628402514.3232
un446;1995-01-01;1995-12-31;398426;9822426168.27445
un450;1995-01-01;1995-12-31;13129227;12986635175.736
un454;1995-01-01;1995-12-31;9883350;6457116515.46475
un458;1995-01-01;1995-12-31;20720810;185690862640.954
un462;1995-01-01;1995-12-31;248712;630161266.941029
un466;1995-01-01;1995-12-31;9824510;7301245169.81856
un470;1995-01-01;1995-12-31;386576;6486677024.05652
un474;1995-01-01;1995-12-31;369709;4408760557.3596
un478;1995-01-01;1995-12-31;2292053;3259741595.04893
un480;1995-01-01;1995-12-31;1137098;7713964351.06646
un484;1995-01-01;1995-12-31;92272749;826258568312.883
un492;1995-01-01;1995-12-31;33014;1079641578.86524
un496;1995-01-01;1995-12-31;2306131;4183576166.80736
un498;1995-01-01;1995-12-31;4338750;8273014079.01644
un499;1995-01-01;1995-12-31;643227;3182232621.06644
un500;1995-01-01;1995-12-31;10210;127028094.666258
